acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
3.0,-248.0,10.0,61.0,-6.0,-16.0,14.0,-1008.0,39.0
5.0,-244.0,6.0,63.0,-5.0,-17.0,8.0,-1010.0,38.0
4.0,-247.0,1.0,64.0,-6.0,-17.0,8.0,-1010.0,49.0
3.0,-250.0,6.0,65.0,-7.0,-17.0,10.0,-1007.0,36.0
1.0,-245.0,15.0,66.0,-9.0,-16.0,12.0,-1010.0,40.0
1.0,-248.0,5.0,67.0,-11.0,-15.0,10.0,-1008.0,44.0
3.0,-245.0,7.0,67.0,-13.0,-16.0,11.0,-1014.0,40.0
5.0,-247.0,6.0,67.0,-15.0,-17.0,10.0,-1012.0,45.0
4.0,-248.0,8.0,67.0,-17.0,-14.0,12.0,-1008.0,44.0
6.0,-252.0,11.0,66.0,-18.0,-13.0,8.0,-1010.0,35.0
2.0,-245.0,5.0,66.0,-19.0,-15.0,7.0,-1008.0,42.0
1.0,-249.0,9.0,66.0,-19.0,-14.0,9.0,-1011.0,44.0
2.0,-245.0,6.0,66.0,-19.0,-14.0,6.0,-1005.0,40.0
0.0,-246.0,6.0,66.0,-19.0,-15.0,11.0,-1008.0,38.0
4.0,-244.0,11.0,67.0,-18.0,-15.0,8.0,-1007.0,38.0
7.0,-250.0,-1.0,68.0,-16.0,-13.0,3.0,-1005.0,37.0
7.0,-249.0,13.0,66.0,-15.0,-15.0,8.0,-1007.0,33.0
4.0,-249.0,5.0,64.0,-14.0,-15.0,8.0,-1008.0,38.0
4.0,-245.0,5.0,65.0,-13.0,-14.0,8.0,-1011.0,32.0
2.0,-246.0,5.0,63.0,-11.0,-13.0,6.0,-1005.0,38.0
6.0,-248.0,6.0,64.0,-9.0,-12.0,9.0,-1009.0,37.0
5.0,-247.0,6.0,64.0,-9.0,-12.0,11.0,-1009.0,35.0
5.0,-249.0,9.0,63.0,-9.0,-12.0,16.0,-1013.0,35.0
5.0,-247.0,5.0,63.0,-8.0,-11.0,17.0,-1012.0,37.0
6.0,-248.0,5.0,61.0,-7.0,-11.0,15.0,-1011.0,37.0
