acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
-10.0,-254.0,-92.0,-84.0,-23.0,24.0,-31.0,-987.0,-225.0
-5.0,-260.0,-91.0,-86.0,-18.0,17.0,-32.0,-994.0,-229.0
-5.0,-260.0,-95.0,-86.0,-6.0,7.0,-18.0,-1004.0,-237.0
1.0,-260.0,-90.0,-83.0,12.0,-3.0,-10.0,-998.0,-243.0
-13.0,-248.0,-94.0,-73.0,33.0,-4.0,-42.0,-968.0,-242.0
-13.0,-244.0,-91.0,-57.0,46.0,3.0,-46.0,-932.0,-236.0
-16.0,-235.0,-87.0,-49.0,55.0,7.0,-69.0,-911.0,-222.0
-16.0,-231.0,-87.0,-43.0,47.0,20.0,-69.0,-902.0,-213.0
-16.0,-230.0,-93.0,-35.0,36.0,36.0,-58.0,-900.0,-227.0
-19.0,-228.0,-89.0,-30.0,20.0,47.0,-74.0,-899.0,-222.0
-18.0,-238.0,-92.0,-31.0,4.0,51.0,-87.0,-915.0,-222.0
-19.0,-239.0,-87.0,-36.0,-12.0,52.0,-84.0,-929.0,-225.0
-19.0,-245.0,-89.0,-49.0,-27.0,51.0,-81.0,-942.0,-220.0
-16.0,-249.0,-91.0,-59.0,-35.0,49.0,-76.0,-953.0,-212.0
-19.0,-247.0,-89.0,-66.0,-41.0,48.0,-74.0,-964.0,-215.0
-19.0,-249.0,-85.0,-69.0,-45.0,47.0,-71.0,-969.0,-209.0
-17.0,-250.0,-87.0,-70.0,-49.0,45.0,-77.0,-965.0,-203.0
-15.0,-250.0,-84.0,-74.0,-53.0,43.0,-65.0,-970.0,-206.0
-16.0,-249.0,-87.0,-74.0,-55.0,39.0,-68.0,-966.0,-206.0
-16.0,-250.0,-87.0,-75.0,-54.0,34.0,-57.0,-963.0,-209.0
-15.0,-249.0,-86.0,-78.0,-52.0,30.0,-55.0,-961.0,-204.0
-12.0,-250.0,-89.0,-82.0,-44.0,25.0,-47.0,-966.0,-208.0
-12.0,-250.0,-89.0,-82.0,-35.0,23.0,-43.0,-963.0,-212.0
-10.0,-248.0,-91.0,-82.0,-25.0,18.0,-39.0,-965.0,-214.0
-9.0,-248.0,-89.0,-81.0,-14.0,15.0,-41.0,-968.0,-215.0
-13.0,-248.0,-86.0,-82.0,-2.0,14.0,-38.0,-958.0,-218.0
-11.0,-249.0,-91.0,-82.0,10.0,11.0,-34.0,-960.0,-219.0
-10.0,-248.0,-88.0,-81.0,20.0,10.0,-43.0,-955.0,-214.0
-13.0,-248.0,-85.0,-81.0,29.0,9.0,-43.0,-953.0,-214.0
-13.0,-248.0,-88.0,-82.0,36.0,9.0,-47.0,-953.0,-209.0
-15.0,-248.0,-84.0,-81.0,40.0,7.0,-47.0,-960.0,-210.0
-16.0,-248.0,-87.0,-81.0,45.0,7.0,-50.0,-959.0,-210.0
-15.0,-246.0,-86.0,-80.0,48.0,7.0,-52.0,-959.0,-214.0
-13.0,-249.0,-89.0,-80.0,49.0,5.0,-56.0,-956.0,-211.0
-16.0,-247.0,-88.0,-80.0,50.0,7.0,-58.0,-958.0,-220.0
-16.0,-248.0,-88.0,-81.0,49.0,6.0,-59.0,-959.0,-218.0
-14.0,-247.0,-92.0,-81.0,47.0,7.0,-50.0,-955.0,-217.0
-15.0,-247.0,-89.0,-83.0,48.0,8.0,-60.0,-955.0,-214.0
-13.0,-246.0,-85.0,-81.0,49.0,9.0,-56.0,-959.0,-219.0
-16.0,-247.0,-88.0,-81.0,50.0,9.0,-61.0,-956.0,-221.0
-14.0,-248.0,-86.0,-83.0,48.0,10.0,-54.0,-948.0,-221.0
-14.0,-248.0,-91.0,-87.0,48.0,12.0,-57.0,-943.0,-219.0
-14.0,-247.0,-85.0,-89.0,45.0,13.0,-54.0,-949.0,-219.0
-13.0,-246.0,-87.0,-94.0,41.0,16.0,-56.0,-941.0,-220.0
-14.0,-246.0,-90.0,-97.0,38.0,20.0,-50.0,-939.0,-220.0
-14.0,-245.0,-87.0,-101.0,34.0,22.0,-50.0,-941.0,-222.0
-12.0,-244.0,-89.0,-102.0,31.0,25.0,-50.0,-937.0,-225.0
-14.0,-243.0,-91.0,-101.0,27.0,28.0,-55.0,-941.0,-221.0
-15.0,-245.0,-87.0,-100.0,25.0,30.0,-57.0,-945.0,-227.0
-16.0,-247.0,-91.0,-99.0,22.0,30.0,-53.0,-943.0,-225.0
-15.0,-246.0,-90.0,-97.0,19.0,30.0,-60.0,-945.0,-228.0
-16.0,-247.0,-89.0,-102.0,19.0,28.0,-63.0,-947.0,-227.0
-17.0,-249.0,-91.0,-105.0,19.0,27.0,-70.0,-954.0,-228.0
-16.0,-248.0,-92.0,-110.0,19.0,26.0,-69.0,-950.0,-227.0
-21.0,-249.0,-89.0,-112.0,19.0,23.0,-70.0,-953.0,-225.0
-19.0,-248.0,-89.0,-112.0,21.0,23.0,-73.0,-960.0,-227.0
-17.0,-248.0,-95.0,-112.0,22.0,23.0,-71.0,-963.0,-223.0
-16.0,-250.0,-91.0,-108.0,25.0,21.0,-73.0,-959.0,-219.0
-15.0,-253.0,-92.0,-104.0,25.0,22.0,-72.0,-967.0,-222.0
