acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
18.0,-262.0,-43.0,-31.0,18.0,0.0,-19.0,-1006.0,3.0
18.0,-263.0,-40.0,-30.0,18.0,0.0,-17.0,-1004.0,4.0
17.0,-259.0,-43.0,-29.0,18.0,1.0,-18.0,-1003.0,0.0
15.0,-261.0,-41.0,-28.0,17.0,-1.0,-16.0,-1005.0,2.0
16.0,-261.0,-41.0,-27.0,18.0,-2.0,-13.0,-1004.0,0.0
15.0,-263.0,-40.0,-28.0,16.0,-2.0,-18.0,-1006.0,1.0
16.0,-262.0,-42.0,-26.0,15.0,-2.0,-19.0,-1002.0,-3.0
15.0,-262.0,-41.0,-26.0,14.0,-3.0,-21.0,-1001.0,5.0
15.0,-263.0,-37.0,-27.0,11.0,-3.0,-25.0,-1004.0,4.0
15.0,-261.0,-39.0,-25.0,9.0,-3.0,-25.0,-1007.0,-1.0
17.0,-262.0,-43.0,-24.0,8.0,-5.0,-24.0,-1003.0,8.0
14.0,-260.0,-42.0,-25.0,4.0,-3.0,-27.0,-999.0,7.0
15.0,-263.0,-41.0,-28.0,2.0,-5.0,-21.0,-1004.0,5.0
13.0,-260.0,-38.0,-29.0,0.0,-5.0,-24.0,-1002.0,1.0
14.0,-261.0,-39.0,-32.0,0.0,-5.0,-25.0,-1003.0,5.0
14.0,-263.0,-41.0,-33.0,-1.0,-5.0,-28.0,-1003.0,1.0
14.0,-263.0,-41.0,-35.0,0.0,-6.0,-20.0,-1003.0,0.0
18.0,-260.0,-44.0,-39.0,-1.0,-6.0,-21.0,-1003.0,1.0
11.0,-259.0,-43.0,-41.0,1.0,-8.0,-16.0,-1005.0,1.0
19.0,-261.0,-40.0,-45.0,2.0,-10.0,-17.0,-1007.0,-2.0
17.0,-263.0,-44.0,-47.0,4.0,-12.0,-14.0,-1002.0,-4.0
18.0,-260.0,-42.0,-50.0,7.0,-14.0,-12.0,-1001.0,-1.0
20.0,-262.0,-44.0,-53.0,9.0,-16.0,-16.0,-1001.0,-3.0
16.0,-260.0,-41.0,-55.0,12.0,-16.0,-12.0,-998.0,-4.0
19.0,-261.0,-43.0,-58.0,16.0,-18.0,-10.0,-998.0,1.0
20.0,-260.0,-45.0,-60.0,20.0,-20.0,-4.0,-997.0,-5.0
19.0,-259.0,-41.0,-63.0,23.0,-22.0,-10.0,-994.0,-2.0
19.0,-261.0,-37.0,-66.0,28.0,-24.0,-1.0,-999.0,-4.0
20.0,-262.0,-42.0,-68.0,33.0,-25.0,-4.0,-1001.0,-3.0
20.0,-261.0,-44.0,-67.0,37.0,-26.0,-1.0,-1001.0,-5.0
20.0,-262.0,-40.0,-66.0,39.0,-27.0,-8.0,-998.0,-8.0
18.0,-261.0,-40.0,-66.0,42.0,-29.0,-2.0,-998.0,-1.0
22.0,-264.0,-41.0,-66.0,45.0,-30.0,-3.0,-1001.0,-5.0
22.0,-261.0,-43.0,-67.0,48.0,-30.0,-3.0,-1003.0,-4.0
20.0,-264.0,-42.0,-64.0,52.0,-31.0,-4.0,-996.0,-6.0
19.0,-260.0,-40.0,-63.0,55.0,-31.0,-7.0,-1007.0,-4.0
21.0,-263.0,-43.0,-62.0,57.0,-30.0,-5.0,-1002.0,-6.0
15.0,-261.0,-40.0,-58.0,57.0,-31.0,-10.0,-1003.0,4.0
16.0,-262.0,-39.0,-55.0,59.0,-29.0,-15.0,-1000.0,5.0
18.0,-261.0,-42.0,-52.0,62.0,-29.0,-15.0,-1004.0,0.0
18.0,-265.0,-40.0,-51.0,63.0,-29.0,-19.0,-1005.0,5.0
15.0,-263.0,-38.0,-50.0,64.0,-28.0,-18.0,-1001.0,6.0
13.0,-263.0,-41.0,-48.0,65.0,-27.0,-18.0,-1004.0,-1.0
17.0,-265.0,-44.0,-47.0,66.0,-27.0,-26.0,-1005.0,3.0
13.0,-263.0,-43.0,-47.0,66.0,-27.0,-26.0,-1005.0,2.0
12.0,-265.0,-45.0,-46.0,68.0,-26.0,-29.0,-1004.0,9.0
3.0,-261.0,-28.0,-45.0,68.0,-26.0,-32.0,-1002.0,5.0
17.0,-263.0,-40.0,-43.0,68.0,-26.0,-32.0,-1005.0,1.0
15.0,-263.0,-38.0,-41.0,70.0,-27.0,-34.0,-1005.0,3.0
14.0,-262.0,-41.0,-42.0,70.0,-27.0,-29.0,-1004.0,3.0
13.0,-261.0,-40.0,-43.0,70.0,-28.0,-29.0,-1003.0,-2.0
16.0,-264.0,-46.0,-44.0,70.0,-27.0,-27.0,-1002.0,2.0
10.0,-263.0,-41.0,-46.0,73.0,-29.0,-29.0,-1001.0,5.0
15.0,-262.0,-40.0,-49.0,75.0,-29.0,-27.0,-998.0,-2.0
15.0,-262.0,-39.0,-49.0,79.0,-29.0,-22.0,-1002.0,4.0
17.0,-263.0,-40.0,-48.0,81.0,-31.0,-22.0,-1003.0,3.0
12.0,-262.0,-40.0,-48.0,84.0,-31.0,-25.0,-996.0,0.0
19.0,-261.0,-41.0,-48.0,86.0,-32.0,-18.0,-999.0,-1.0
15.0,-257.0,-42.0,-48.0,90.0,-32.0,-16.0,-993.0,-2.0
20.0,-261.0,-39.0,-49.0,93.0,-33.0,-18.0,-994.0,-7.0
16.0,-259.0,-46.0,-52.0,96.0,-33.0,-19.0,-990.0,-6.0
18.0,-258.0,-43.0,-57.0,99.0,-33.0,-18.0,-993.0,-11.0
19.0,-260.0,-46.0,-60.0,101.0,-33.0,-15.0,-994.0,-12.0
18.0,-260.0,-43.0,-65.0,103.0,-32.0,-19.0,-997.0,-10.0
17.0,-260.0,-42.0,-65.0,106.0,-32.0,-17.0,-992.0,-9.0
17.0,-259.0,-44.0,-67.0,109.0,-32.0,-17.0,-996.0,-6.0
15.0,-260.0,-45.0,-68.0,114.0,-33.0,-20.0,-996.0,-5.0
15.0,-259.0,-43.0,-69.0,120.0,-33.0,-16.0,-992.0,-11.0
15.0,-258.0,-43.0,-71.0,127.0,-33.0,-20.0,-991.0,-9.0
16.0,-256.0,-46.0,-74.0,134.0,-35.0,-20.0,-990.0,-9.0
17.0,-262.0,-41.0,-80.0,142.0,-36.0,-19.0,-1000.0,-11.0
16.0,-261.0,-45.0,-89.0,150.0,-37.0,-19.0,-1003.0,-9.0
16.0,-263.0,-46.0,-89.0,161.0,-37.0,-20.0,-1006.0,-8.0
17.0,-262.0,-48.0,-84.0,174.0,-38.0,-9.0,-1012.0,-12.0
19.0,-265.0,-46.0,-77.0,185.0,-42.0,-5.0,-1014.0,-16.0
21.0,-262.0,-48.0,-68.0,200.0,-45.0,3.0,-1010.0,-27.0
25.0,-263.0,-50.0,-64.0,215.0,-48.0,2.0,-1008.0,-32.0
27.0,-261.0,-51.0,-70.0,233.0,-52.0,11.0,-999.0,-33.0
25.0,-259.0,-47.0,-76.0,254.0,-57.0,18.0,-999.0,-31.0
27.0,-263.0,-46.0,-85.0,277.0,-61.0,15.0,-1007.0,-18.0
31.0,-263.0,-49.0,-92.0,303.0,-68.0,31.0,-1007.0,-22.0
36.0,-266.0,-49.0,-99.0,333.0,-75.0,45.0,-1009.0,-30.0
36.0,-263.0,-54.0,-109.0,362.0,-85.0,54.0,-1017.0,-43.0
42.0,-266.0,-52.0,-117.0,391.0,-100.0,66.0,-1012.0,-50.0
44.0,-267.0,-57.0,-130.0,420.0,-110.0,81.0,-1017.0,-59.0
47.0,-269.0,-54.0,-139.0,450.0,-121.0,88.0,-1023.0,-56.0
