acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
-7.0,-252.0,-15.0,58.0,20.0,-10.0,-37.0,-1013.0,-34.0
-9.0,-251.0,-12.0,58.0,21.0,-10.0,-30.0,-1020.0,-35.0
-10.0,-249.0,-12.0,58.0,19.0,-9.0,-36.0,-1011.0,-36.0
-7.0,-248.0,-15.0,57.0,20.0,-11.0,-32.0,-1021.0,-36.0
-8.0,-249.0,-19.0,56.0,19.0,-10.0,-35.0,-1017.0,-34.0
-5.0,-252.0,-16.0,58.0,20.0,-11.0,-31.0,-1021.0,-32.0
-6.0,-252.0,-16.0,59.0,18.0,-11.0,-33.0,-1018.0,-31.0
-7.0,-253.0,-18.0,59.0,16.0,-9.0,-37.0,-1015.0,-31.0
-12.0,-250.0,-17.0,58.0,13.0,-11.0,-35.0,-1015.0,-33.0
-6.0,-254.0,-16.0,58.0,13.0,-11.0,-30.0,-1018.0,-35.0
-11.0,-251.0,-16.0,59.0,15.0,-10.0,-32.0,-1012.0,-38.0
-5.0,-251.0,-18.0,60.0,17.0,-10.0,-37.0,-1020.0,-40.0
-6.0,-253.0,-18.0,60.0,17.0,-11.0,-33.0,-1021.0,-34.0
-8.0,-252.0,-15.0,60.0,18.0,-12.0,-41.0,-1021.0,-36.0
-9.0,-253.0,-14.0,59.0,18.0,-11.0,-37.0,-1019.0,-33.0
-9.0,-253.0,-15.0,60.0,17.0,-11.0,-37.0,-1024.0,-36.0
-8.0,-256.0,-14.0,59.0,18.0,-13.0,-34.0,-1023.0,-39.0
-3.0,-253.0,-10.0,61.0,17.0,-12.0,-37.0,-1022.0,-40.0
-5.0,-254.0,-13.0,63.0,16.0,-11.0,-35.0,-1025.0,-32.0
-10.0,-254.0,-17.0,65.0,16.0,-15.0,-33.0,-1020.0,-33.0
-7.0,-251.0,-17.0,68.0,14.0,-13.0,-37.0,-1022.0,-38.0
-12.0,-249.0,-16.0,70.0,13.0,-12.0,-32.0,-1024.0,-37.0
-7.0,-252.0,-16.0,71.0,13.0,-12.0,-36.0,-1014.0,-29.0
-5.0,-251.0,-15.0,72.0,15.0,-12.0,-34.0,-1016.0,-34.0
-5.0,-251.0,-13.0,72.0,14.0,-12.0,-33.0,-1014.0,-36.0
-4.0,-252.0,-16.0,74.0,16.0,-11.0,-33.0,-1021.0,-31.0
-4.0,-249.0,-14.0,74.0,15.0,-12.0,-35.0,-1017.0,-36.0
-5.0,-250.0,-15.0,73.0,15.0,-11.0,-32.0,-1015.0,-31.0
-4.0,-250.0,-15.0,72.0,16.0,-13.0,-34.0,-1019.0,-38.0
-8.0,-249.0,-12.0,69.0,16.0,-10.0,-33.0,-1015.0,-33.0
-7.0,-252.0,-13.0,67.0,17.0,-10.0,-36.0,-1015.0,-33.0
-6.0,-254.0,-14.0,65.0,18.0,-12.0,-37.0,-1018.0,-35.0
-6.0,-250.0,-17.0,64.0,18.0,-12.0,-35.0,-1016.0,-36.0
-10.0,-249.0,-16.0,62.0,20.0,-11.0,-34.0,-1019.0,-33.0
-7.0,-251.0,-18.0,62.0,20.0,-11.0,-31.0,-1022.0,-40.0
-6.0,-251.0,-15.0,61.0,19.0,-10.0,-33.0,-1016.0,-33.0
-5.0,-256.0,-17.0,61.0,20.0,-10.0,-36.0,-1017.0,-37.0
-5.0,-255.0,-17.0,59.0,23.0,-10.0,-36.0,-1017.0,-36.0
-5.0,-252.0,-17.0,60.0,26.0,-11.0,-36.0,-1015.0,-34.0
-6.0,-254.0,-18.0,61.0,27.0,-10.0,-37.0,-1020.0,-37.0
-7.0,-249.0,-16.0,60.0,28.0,-11.0,-36.0,-1022.0,-33.0
-4.0,-252.0,-12.0,61.0,28.0,-11.0,-37.0,-1019.0,-31.0
-8.0,-251.0,-13.0,61.0,28.0,-12.0,-33.0,-1019.0,-37.0
-8.0,-251.0,-16.0,60.0,25.0,-12.0,-38.0,-1019.0,-38.0
-7.0,-253.0,-14.0,58.0,23.0,-11.0,-38.0,-1018.0,-35.0
-10.0,-250.0,-15.0,57.0,21.0,-12.0,-36.0,-1019.0,-42.0
-11.0,-251.0,-18.0,55.0,21.0,-13.0,-35.0,-1023.0,-32.0
-9.0,-250.0,-15.0,55.0,20.0,-11.0,-40.0,-1021.0,-35.0
-11.0,-253.0,-18.0,55.0,20.0,-12.0,-40.0,-1020.0,-45.0
-10.0,-251.0,-19.0,54.0,18.0,-13.0,-42.0,-1024.0,-34.0
-13.0,-253.0,-19.0,54.0,17.0,-11.0,-42.0,-1014.0,-32.0
-9.0,-249.0,-13.0,54.0,16.0,-11.0,-41.0,-1023.0,-36.0
-10.0,-248.0,-14.0,53.0,14.0,-12.0,-40.0,-1016.0,-32.0
-6.0,-253.0,-17.0,49.0,14.0,-12.0,-36.0,-1011.0,-31.0
-9.0,-249.0,-14.0,49.0,13.0,-12.0,-37.0,-1013.0,-34.0
-8.0,-252.0,-20.0,50.0,12.0,-10.0,-35.0,-1013.0,-43.0
-10.0,-249.0,-18.0,52.0,12.0,-14.0,-35.0,-1016.0,-49.0
-4.0,-251.0,-17.0,52.0,11.0,-11.0,-31.0,-1014.0,-46.0
-9.0,-247.0,-17.0,54.0,11.0,-11.0,-39.0,-1015.0,-45.0
-8.0,-251.0,-15.0,57.0,13.0,-12.0,-32.0,-1017.0,-38.0
-10.0,-257.0,-13.0,59.0,14.0,-12.0,-33.0,-1016.0,-32.0
-7.0,-249.0,-13.0,59.0,16.0,-11.0,-37.0,-1022.0,-30.0
-6.0,-249.0,-17.0,59.0,16.0,-8.0,-39.0,-1017.0,-32.0
-11.0,-250.0,-15.0,57.0,18.0,-10.0,-39.0,-1018.0,-32.0
-7.0,-252.0,-16.0,57.0,16.0,-9.0,-37.0,-1019.0,-34.0
-8.0,-250.0,-14.0,55.0,16.0,-10.0,-35.0,-1016.0,-33.0
-12.0,-249.0,-16.0,52.0,16.0,-7.0,-33.0,-1016.0,-32.0
-5.0,-254.0,-13.0,52.0,15.0,-10.0,-32.0,-1018.0,-33.0
-6.0,-251.0,-13.0,53.0,17.0,-10.0,-33.0,-1016.0,-35.0
-7.0,-250.0,-15.0,52.0,18.0,-11.0,-33.0,-1014.0,-34.0
-5.0,-250.0,-16.0,52.0,20.0,-10.0,-32.0,-1019.0,-37.0
-8.0,-253.0,-13.0,49.0,20.0,-8.0,-33.0,-1024.0,-29.0
-7.0,-251.0,-16.0,48.0,19.0,-8.0,-34.0,-1012.0,-37.0
-9.0,-251.0,-20.0,46.0,19.0,-7.0,-34.0,-1021.0,-38.0
-6.0,-252.0,-14.0,46.0,19.0,-10.0,-35.0,-1022.0,-33.0
-6.0,-251.0,-13.0,44.0,20.0,-10.0,-40.0,-1017.0,-33.0
-8.0,-250.0,-14.0,43.0,21.0,-9.0,-35.0,-1017.0,-32.0
-10.0,-248.0,-17.0,43.0,20.0,-9.0,-40.0,-1014.0,-32.0
-10.0,-252.0,-15.0,44.0,20.0,-9.0,-41.0,-1020.0,-39.0
-9.0,-252.0,-16.0,45.0,18.0,-7.0,-36.0,-1016.0,-37.0
-10.0,-252.0,-17.0,46.0,17.0,-9.0,-39.0,-1022.0,-36.0
-10.0,-250.0,-14.0,48.0,17.0,-9.0,-42.0,-1015.0,-35.0
-9.0,-253.0,-16.0,49.0,15.0,-9.0,-40.0,-1022.0,-40.0
-11.0,-254.0,-19.0,50.0,13.0,-10.0,-45.0,-1019.0,-37.0
-11.0,-252.0,-16.0,51.0,12.0,-11.0,-39.0,-1020.0,-40.0
-11.0,-251.0,-13.0,53.0,10.0,-11.0,-39.0,-1021.0,-35.0
-10.0,-250.0,-17.0,55.0,8.0,-10.0,-39.0,-1020.0,-28.0
-6.0,-252.0,-16.0,57.0,7.0,-11.0,-46.0,-1024.0,-34.0
-11.0,-253.0,-15.0,60.0,6.0,-12.0,-41.0,-1023.0,-35.0
-10.0,-253.0,-18.0,62.0,5.0,-11.0,-44.0,-1021.0,-33.0
-12.0,-250.0,-17.0,65.0,4.0,-11.0,-36.0,-1022.0,-32.0
-8.0,-253.0,-14.0,66.0,3.0,-11.0,-41.0,-1022.0,-30.0
-12.0,-248.0,-16.0,65.0,2.0,-11.0,-40.0,-1018.0,-37.0
-7.0,-252.0,-8.0,64.0,1.0,-12.0,-40.0,-1022.0,-30.0
-9.0,-253.0,-12.0,62.0,-1.0,-11.0,-39.0,-1019.0,-28.0
-9.0,-253.0,-9.0,62.0,-1.0,-12.0,-40.0,-1020.0,-29.0
-10.0,-248.0,-13.0,62.0,-5.0,-10.0,-37.0,-1021.0,-29.0
-7.0,-251.0,-13.0,61.0,-6.0,-13.0,-36.0,-1015.0,-32.0
-9.0,-247.0,-14.0,60.0,-7.0,-13.0,-35.0,-1020.0,-38.0
-7.0,-250.0,-16.0,62.0,-8.0,-13.0,-38.0,-1018.0,-32.0
-8.0,-248.0,-17.0,63.0,-9.0,-12.0,-38.0,-1011.0,-29.0
-10.0,-250.0,-17.0,63.0,-9.0,-9.0,-32.0,-1017.0,-35.0
-10.0,-248.0,-19.0,61.0,-8.0,-13.0,-36.0,-1017.0,-33.0
-8.0,-246.0,-16.0,60.0,-7.0,-12.0,-32.0,-1009.0,-32.0
-7.0,-249.0,-14.0,58.0,-6.0,-11.0,-34.0,-1015.0,-28.0
-9.0,-246.0,-13.0,56.0,-4.0,-10.0,-34.0,-1021.0,-30.0
-8.0,-251.0,-15.0,56.0,-3.0,-10.0,-32.0,-1017.0,-29.0
-9.0,-251.0,-15.0,54.0,-3.0,-10.0,-41.0,-1017.0,-27.0
-7.0,-252.0,-14.0,53.0,-3.0,-11.0,-36.0,-1019.0,-27.0
-8.0,-252.0,-16.0,54.0,-4.0,-12.0,-35.0,-1024.0,-30.0
-9.0,-251.0,-19.0,56.0,-4.0,-13.0,-39.0,-1024.0,-34.0
-10.0,-254.0,-13.0,56.0,-4.0,-13.0,-36.0,-1024.0,-31.0
-9.0,-253.0,-14.0,57.0,-4.0,-12.0,-38.0,-1021.0,-37.0
-9.0,-255.0,-18.0,56.0,-6.0,-12.0,-40.0,-1019.0,-28.0
-9.0,-249.0,-17.0,56.0,-6.0,-13.0,-35.0,-1020.0,-33.0
-9.0,-250.0,-17.0,56.0,-5.0,-11.0,-37.0,-1022.0,-29.0
-10.0,-250.0,-14.0,55.0,-7.0,-11.0,-32.0,-1014.0,-30.0
-5.0,-250.0,-14.0,54.0,-7.0,-12.0,-38.0,-1020.0,-32.0
-8.0,-250.0,-15.0,54.0,-5.0,-12.0,-40.0,-1015.0,-27.0
-5.0,-254.0,-14.0,53.0,-4.0,-12.0,-38.0,-1021.0,-30.0
-9.0,-250.0,-12.0,53.0,-3.0,-11.0,-35.0,-1020.0,-28.0
-8.0,-251.0,-16.0,54.0,-3.0,-12.0,-34.0,-1022.0,-28.0
-8.0,-251.0,-14.0,53.0,-2.0,-12.0,-38.0,-1026.0,-31.0
-7.0,-252.0,-14.0,52.0,-2.0,-12.0,-36.0,-1020.0,-33.0
-4.0,-254.0,-14.0,52.0,-3.0,-12.0,-38.0,-1020.0,-26.0
-8.0,-250.0,-9.0,52.0,-2.0,-11.0,-35.0,-1020.0,-21.0
-7.0,-254.0,-17.0,50.0,-2.0,-10.0,-37.0,-1024.0,-28.0
-6.0,-252.0,-17.0,52.0,-1.0,-10.0,-37.0,-1015.0,-22.0
-7.0,-251.0,-14.0,51.0,0.0,-9.0,-36.0,-1019.0,-30.0
-8.0,-250.0,-13.0,51.0,0.0,-8.0,-31.0,-1019.0,-31.0
-4.0,-254.0,-15.0,50.0,-1.0,-8.0,-39.0,-1019.0,-31.0
-5.0,-254.0,-17.0,51.0,0.0,-8.0,-35.0,-1018.0,-32.0
-13.0,-250.0,-19.0,49.0,2.0,-6.0,-35.0,-1017.0,-33.0
-9.0,-252.0,-16.0,49.0,1.0,-7.0,-30.0,-1015.0,-30.0
-7.0,-253.0,-11.0,48.0,1.0,-6.0,-39.0,-1017.0,-32.0
-11.0,-252.0,-14.0,49.0,0.0,-6.0,-41.0,-1021.0,-28.0
-5.0,-252.0,-9.0,51.0,1.0,-7.0,-38.0,-1018.0,-32.0
-11.0,-249.0,-18.0,52.0,1.0,-7.0,-34.0,-1022.0,-32.0
-6.0,-251.0,-15.0,52.0,2.0,-4.0,-37.0,-1019.0,-28.0
-4.0,-250.0,-16.0,53.0,3.0,-7.0,-35.0,-1023.0,-33.0
-7.0,-248.0,-14.0,54.0,2.0,-8.0,-34.0,-1022.0,-29.0
-5.0,-252.0,-14.0,54.0,3.0,-7.0,-31.0,-1021.0,-37.0
-8.0,-254.0,-13.0,54.0,3.0,-7.0,-29.0,-1021.0,-35.0
-8.0,-251.0,-15.0,55.0,4.0,-6.0,-40.0,-1017.0,-31.0
-9.0,-250.0,-13.0,55.0,4.0,-7.0,-33.0,-1021.0,-28.0
-1.0,-253.0,-6.0,55.0,5.0,-8.0,-36.0,-1021.0,-25.0
-5.0,-251.0,-17.0,55.0,6.0,-8.0,-33.0,-1020.0,-31.0
-7.0,-251.0,-11.0,53.0,5.0,-9.0,-35.0,-1013.0,-32.0
-4.0,-251.0,-13.0,53.0,7.0,-9.0,-32.0,-1024.0,-33.0
-7.0,-250.0,-11.0,52.0,7.0,-9.0,-36.0,-1023.0,-31.0
-9.0,-254.0,-18.0,52.0,7.0,-7.0,-36.0,-1019.0,-33.0
-8.0,-250.0,-17.0,52.0,6.0,-7.0,-36.0,-1021.0,-29.0
-11.0,-252.0,-15.0,52.0,6.0,-7.0,-32.0,-1023.0,-27.0
-8.0,-252.0,-14.0,52.0,7.0,-8.0,-33.0,-1023.0,-34.0
-8.0,-249.0,-11.0,54.0,6.0,-9.0,-36.0,-1014.0,-36.0
-13.0,-251.0,-9.0,54.0,7.0,-9.0,-36.0,-1018.0,-35.0
-5.0,-254.0,-13.0,52.0,7.0,-7.0,-38.0,-1024.0,-33.0
-7.0,-252.0,-16.0,54.0,7.0,-8.0,-36.0,-1024.0,-33.0
-6.0,-253.0,-13.0,53.0,8.0,-5.0,-37.0,-1015.0,-32.0
-7.0,-250.0,-15.0,55.0,7.0,-7.0,-36.0,-1019.0,-28.0
-5.0,-250.0,-15.0,55.0,7.0,-8.0,-28.0,-1018.0,-30.0
-5.0,-254.0,-14.0,56.0,8.0,-7.0,-39.0,-1024.0,-27.0
-5.0,-250.0,-11.0,57.0,7.0,-8.0,-30.0,-1025.0,-33.0
-9.0,-253.0,-13.0,57.0,8.0,-8.0,-30.0,-1025.0,-36.0
-5.0,-251.0,-19.0,56.0,8.0,-8.0,-31.0,-1021.0,-33.0
-5.0,-250.0,-19.0,55.0,10.0,-7.0,-36.0,-1022.0,-35.0
-6.0,-251.0,-14.0,55.0,11.0,-8.0,-36.0,-1017.0,-33.0
-9.0,-253.0,-18.0,54.0,10.0,-7.0,-36.0,-1013.0,-34.0
-7.0,-251.0,-19.0,52.0,9.0,-7.0,-34.0,-1021.0,-30.0
-9.0,-249.0,-9.0,50.0,7.0,-8.0,-34.0,-1021.0,-33.0
-6.0,-250.0,-8.0,49.0,8.0,-6.0,-35.0,-1020.0,-28.0
-7.0,-250.0,-14.0,46.0,6.0,-7.0,-40.0,-1018.0,-24.0
-8.0,-252.0,-10.0,46.0,5.0,-9.0,-36.0,-1021.0,-23.0
-5.0,-249.0,-17.0,47.0,4.0,-9.0,-40.0,-1024.0,-41.0
-8.0,-251.0,-15.0,49.0,3.0,-9.0,-38.0,-1018.0,-49.0
-8.0,-252.0,-17.0,54.0,3.0,-11.0,-34.0,-1019.0,-41.0
-5.0,-250.0,-18.0,56.0,6.0,-12.0,-36.0,-1022.0,-37.0
-9.0,-252.0,-11.0,59.0,7.0,-12.0,-29.0,-1013.0,-29.0
-6.0,-250.0,-16.0,59.0,10.0,-13.0,-32.0,-1018.0,-27.0
-4.0,-252.0,-14.0,58.0,11.0,-12.0,-25.0,-1014.0,-34.0
-12.0,-249.0,-9.0,57.0,12.0,-13.0,-33.0,-1019.0,-24.0
-5.0,-251.0,-14.0,55.0,12.0,-12.0,-33.0,-1014.0,-23.0
-4.0,-254.0,-14.0,56.0,14.0,-11.0,-32.0,-1019.0,-31.0
-8.0,-251.0,-14.0,52.0,13.0,-10.0,-36.0,-1023.0,-30.0
-8.0,-253.0,-14.0,51.0,13.0,-9.0,-31.0,-1016.0,-32.0
-5.0,-250.0,-15.0,49.0,13.0,-10.0,-31.0,-1011.0,-29.0
-5.0,-250.0,-15.0,48.0,14.0,-8.0,-30.0,-1019.0,-33.0
-7.0,-252.0,-10.0,48.0,15.0,-7.0,-28.0,-1019.0,-31.0
-11.0,-253.0,-10.0,51.0,16.0,-8.0,-28.0,-1025.0,-28.0
-6.0,-251.0,-14.0,51.0,18.0,-8.0,-27.0,-1016.0,-32.0
-3.0,-257.0,-16.0,51.0,19.0,-8.0,-28.0,-1023.0,-33.0
-4.0,-254.0,-14.0,51.0,20.0,-9.0,-29.0,-1024.0,-24.0
-7.0,-253.0,-13.0,50.0,21.0,-9.0,-30.0,-1017.0,-29.0
-5.0,-249.0,-11.0,50.0,24.0,-9.0,-26.0,-1016.0,-34.0
-7.0,-249.0,-16.0,50.0,26.0,-9.0,-32.0,-1017.0,-35.0
-10.0,-251.0,-11.0,48.0,28.0,-9.0,-32.0,-1019.0,-37.0
-4.0,-255.0,-14.0,48.0,27.0,-10.0,-28.0,-1014.0,-34.0
-4.0,-252.0,-13.0,49.0,30.0,-9.0,-30.0,-1022.0,-30.0
-5.0,-248.0,-15.0,49.0,33.0,-10.0,-31.0,-1022.0,-33.0
-7.0,-252.0,-15.0,50.0,34.0,-10.0,-35.0,-1015.0,-35.0
-7.0,-250.0,-17.0,48.0,37.0,-10.0,-33.0,-1016.0,-26.0
-3.0,-254.0,-13.0,49.0,40.0,-8.0,-28.0,-1015.0,-33.0
-5.0,-251.0,-17.0,50.0,41.0,-10.0,-31.0,-1021.0,-30.0
-6.0,-251.0,-16.0,49.0,41.0,-8.0,-31.0,-1017.0,-36.0
-7.0,-247.0,-17.0,49.0,44.0,-9.0,-32.0,-1018.0,-33.0
-4.0,-251.0,-15.0,48.0,46.0,-11.0,-28.0,-1014.0,-34.0
-7.0,-249.0,-15.0,46.0,48.0,-11.0,-30.0,-1017.0,-35.0
-6.0,-251.0,-21.0,47.0,50.0,-11.0,-32.0,-1015.0,-34.0
-6.0,-251.0,-17.0,47.0,50.0,-10.0,-24.0,-1011.0,-31.0
-5.0,-253.0,-13.0,47.0,51.0,-12.0,-32.0,-1017.0,-34.0
-7.0,-251.0,-13.0,47.0,53.0,-11.0,-32.0,-1014.0,-31.0
-9.0,-251.0,-17.0,43.0,52.0,-10.0,-35.0,-1018.0,-30.0
-8.0,-253.0,-13.0,42.0,51.0,-8.0,-38.0,-1016.0,-31.0
-9.0,-250.0,-12.0,39.0,50.0,-7.0,-39.0,-1022.0,-30.0
-8.0,-248.0,-14.0,39.0,51.0,-9.0,-35.0,-1013.0,-26.0
-4.0,-255.0,-13.0,40.0,53.0,-9.0,-36.0,-1023.0,-28.0
-6.0,-251.0,-12.0,41.0,54.0,-10.0,-39.0,-1024.0,-31.0
-8.0,-251.0,-15.0,43.0,55.0,-9.0,-40.0,-1015.0,-28.0
-6.0,-249.0,-12.0,44.0,56.0,-10.0,-37.0,-1018.0,-26.0
-4.0,-252.0,-13.0,44.0,56.0,-9.0,-38.0,-1015.0,-31.0
-8.0,-250.0,-16.0,44.0,55.0,-11.0,-35.0,-1017.0,-33.0
-7.0,-253.0,-11.0,44.0,56.0,-9.0,-39.0,-1016.0,-32.0
-7.0,-249.0,-15.0,42.0,58.0,-9.0,-38.0,-1012.0,-26.0
-10.0,-252.0,-17.0,41.0,59.0,-8.0,-37.0,-1018.0,-31.0
-10.0,-252.0,-15.0,41.0,59.0,-10.0,-39.0,-1017.0,-34.0
-11.0,-253.0,-11.0,44.0,57.0,-10.0,-36.0,-1022.0,-29.0
-9.0,-250.0,-13.0,45.0,58.0,-10.0,-38.0,-1022.0,-25.0
-11.0,-252.0,-14.0,47.0,55.0,-10.0,-40.0,-1022.0,-28.0
-8.0,-254.0,-14.0,50.0,52.0,-9.0,-42.0,-1022.0,-30.0
-12.0,-251.0,-12.0,51.0,52.0,-9.0,-42.0,-1022.0,-25.0
-14.0,-250.0,-16.0,54.0,50.0,-8.0,-43.0,-1024.0,-27.0
-8.0,-253.0,-12.0,56.0,48.0,-5.0,-46.0,-1020.0,-37.0
-12.0,-251.0,-14.0,56.0,47.0,-6.0,-37.0,-1019.0,-31.0
-9.0,-251.0,-11.0,56.0,45.0,-6.0,-44.0,-1018.0,-32.0
-9.0,-250.0,-10.0,57.0,43.0,-7.0,-40.0,-1018.0,-27.0
-14.0,-249.0,-13.0,58.0,39.0,-4.0,-44.0,-1024.0,-31.0
-12.0,-252.0,-18.0,59.0,36.0,-4.0,-43.0,-1023.0,-30.0
-10.0,-252.0,-13.0,61.0,32.0,-2.0,-40.0,-1019.0,-28.0
-7.0,-256.0,-15.0,62.0,30.0,-3.0,-43.0,-1024.0,-24.0
-10.0,-252.0,-16.0,63.0,26.0,-3.0,-45.0,-1022.0,-28.0
-7.0,-253.0,-14.0,64.0,24.0,-1.0,-46.0,-1019.0,-34.0
-11.0,-251.0,-16.0,63.0,21.0,-3.0,-48.0,-1023.0,-30.0
-7.0,-250.0,-20.0,64.0,19.0,-2.0,-41.0,-1018.0,-30.0
-10.0,-250.0,-14.0,64.0,17.0,-2.0,-43.0,-1021.0,-33.0
-11.0,-250.0,-18.0,64.0,12.0,-4.0,-47.0,-1024.0,-33.0
-12.0,-251.0,-21.0,63.0,9.0,-4.0,-43.0,-1028.0,-36.0
-9.0,-252.0,-16.0,64.0,6.0,-3.0,-39.0,-1021.0,-33.0
-10.0,-251.0,-17.0,65.0,2.0,-4.0,-43.0,-1019.0,-32.0
-15.0,-249.0,-13.0,66.0,0.0,-4.0,-45.0,-1020.0,-37.0
-9.0,-253.0,-14.0,66.0,-3.0,-4.0,-40.0,-1015.0,-32.0
-10.0,-249.0,-15.0,65.0,-5.0,-6.0,-42.0,-1017.0,-35.0
-11.0,-249.0,-16.0,65.0,-9.0,-9.0,-39.0,-1017.0,-30.0
-9.0,-252.0,-15.0,60.0,-11.0,-10.0,-47.0,-1017.0,-32.0
