acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
11.0,-235.0,44.0,-46.0,32.0,-1.0,37.0,-928.0,306.0
7.0,-236.0,45.0,-49.0,39.0,0.0,36.0,-925.0,302.0
7.0,-238.0,44.0,-52.0,48.0,-2.0,34.0,-928.0,304.0
10.0,-238.0,45.0,-55.0,56.0,-2.0,39.0,-928.0,304.0
11.0,-239.0,41.0,-56.0,61.0,-2.0,36.0,-935.0,304.0
5.0,-240.0,41.0,-54.0,67.0,-1.0,32.0,-936.0,301.0
9.0,-237.0,43.0,-54.0,71.0,0.0,27.0,-938.0,303.0
8.0,-239.0,46.0,-53.0,73.0,0.0,23.0,-932.0,303.0
8.0,-240.0,43.0,-51.0,73.0,-1.0,22.0,-933.0,310.0
6.0,-239.0,46.0,-49.0,72.0,2.0,17.0,-931.0,309.0
2.0,-241.0,46.0,-47.0,67.0,4.0,13.0,-933.0,306.0
3.0,-237.0,44.0,-46.0,64.0,7.0,11.0,-932.0,310.0
2.0,-239.0,46.0,-46.0,59.0,8.0,1.0,-926.0,308.0
-3.0,-239.0,42.0,-46.0,52.0,9.0,1.0,-920.0,314.0
1.0,-232.0,44.0,-49.0,45.0,10.0,12.0,-916.0,307.0
2.0,-238.0,46.0,-53.0,39.0,12.0,6.0,-914.0,313.0
2.0,-235.0,49.0,-57.0,33.0,13.0,2.0,-913.0,312.0
3.0,-230.0,46.0,-61.0,30.0,13.0,5.0,-910.0,310.0
0.0,-232.0,45.0,-66.0,28.0,15.0,9.0,-911.0,313.0
6.0,-232.0,42.0,-72.0,26.0,16.0,12.0,-906.0,310.0
4.0,-234.0,46.0,-78.0,27.0,17.0,13.0,-909.0,313.0
5.0,-234.0,48.0,-83.0,29.0,18.0,21.0,-916.0,319.0
5.0,-233.0,52.0,-84.0,31.0,18.0,22.0,-916.0,316.0
8.0,-236.0,51.0,-86.0,32.0,19.0,26.0,-919.0,318.0
8.0,-236.0,48.0,-87.0,31.0,20.0,29.0,-922.0,323.0
9.0,-239.0,49.0,-88.0,27.0,21.0,30.0,-922.0,322.0
9.0,-238.0,55.0,-90.0,23.0,23.0,36.0,-929.0,325.0
9.0,-239.0,52.0,-87.0,18.0,24.0,33.0,-937.0,326.0
7.0,-239.0,54.0,-81.0,12.0,25.0,26.0,-936.0,325.0
5.0,-239.0,51.0,-74.0,5.0,26.0,32.0,-937.0,330.0
5.0,-240.0,55.0,-66.0,0.0,25.0,23.0,-937.0,331.0
