acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
17.0,-252.0,-48.0,-109.0,140.0,19.0,43.0,-976.0,-125.0
20.0,-253.0,-52.0,-110.0,141.0,18.0,42.0,-973.0,-124.0
18.0,-255.0,-51.0,-106.0,140.0,20.0,39.0,-977.0,-134.0
16.0,-253.0,-53.0,-102.0,139.0,19.0,41.0,-983.0,-128.0
17.0,-255.0,-53.0,-98.0,136.0,18.0,41.0,-987.0,-129.0
22.0,-257.0,-48.0,-91.0,134.0,18.0,45.0,-988.0,-131.0
16.0,-253.0,-51.0,-84.0,128.0,18.0,39.0,-979.0,-124.0
18.0,-255.0,-50.0,-77.0,124.0,17.0,44.0,-981.0,-131.0
17.0,-256.0,-48.0,-69.0,120.0,15.0,41.0,-984.0,-134.0
16.0,-256.0,-51.0,-60.0,115.0,16.0,35.0,-985.0,-128.0
17.0,-255.0,-49.0,-52.0,110.0,15.0,32.0,-984.0,-130.0
13.0,-255.0,-52.0,-43.0,105.0,16.0,34.0,-978.0,-127.0
17.0,-252.0,-47.0,-35.0,100.0,15.0,38.0,-978.0,-131.0
14.0,-252.0,-49.0,-29.0,95.0,14.0,31.0,-977.0,-127.0
18.0,-253.0,-49.0,-24.0,90.0,13.0,31.0,-978.0,-127.0
15.0,-254.0,-48.0,-23.0,86.0,13.0,33.0,-978.0,-127.0
15.0,-253.0,-52.0,-22.0,82.0,13.0,27.0,-973.0,-124.0
14.0,-253.0,-54.0,-22.0,78.0,12.0,37.0,-975.0,-126.0
17.0,-253.0,-51.0,-24.0,72.0,11.0,33.0,-974.0,-136.0
14.0,-249.0,-52.0,-27.0,66.0,12.0,28.0,-974.0,-129.0
18.0,-252.0,-55.0,-31.0,60.0,12.0,31.0,-973.0,-134.0
14.0,-252.0,-51.0,-35.0,57.0,10.0,30.0,-973.0,-134.0
18.0,-253.0,-56.0,-43.0,52.0,10.0,27.0,-970.0,-135.0
17.0,-252.0,-54.0,-48.0,50.0,11.0,34.0,-971.0,-138.0
15.0,-254.0,-55.0,-53.0,44.0,9.0,32.0,-972.0,-144.0
15.0,-253.0,-54.0,-58.0,42.0,7.0,38.0,-969.0,-140.0
13.0,-253.0,-53.0,-60.0,39.0,5.0,34.0,-975.0,-138.0
15.0,-254.0,-54.0,-60.0,34.0,2.0,35.0,-976.0,-140.0
18.0,-252.0,-53.0,-62.0,31.0,0.0,31.0,-975.0,-140.0
18.0,-254.0,-56.0,-59.0,27.0,-2.0,38.0,-974.0,-140.0
16.0,-255.0,-54.0,-59.0,23.0,-3.0,33.0,-975.0,-142.0
19.0,-254.0,-53.0,-58.0,19.0,-6.0,41.0,-973.0,-141.0
17.0,-251.0,-54.0,-58.0,14.0,-9.0,43.0,-965.0,-142.0
17.0,-251.0,-53.0,-58.0,8.0,-10.0,35.0,-968.0,-137.0
18.0,-253.0,-53.0,-58.0,1.0,-12.0,40.0,-970.0,-139.0
14.0,-251.0,-49.0,-59.0,-6.0,-11.0,36.0,-972.0,-134.0
14.0,-253.0,-52.0,-60.0,-13.0,-10.0,35.0,-976.0,-134.0
18.0,-253.0,-51.0,-59.0,-18.0,-11.0,33.0,-970.0,-137.0
15.0,-251.0,-55.0,-59.0,-21.0,-9.0,35.0,-974.0,-136.0
18.0,-253.0,-55.0,-57.0,-24.0,-7.0,38.0,-972.0,-135.0
16.0,-253.0,-51.0,-56.0,-25.0,-6.0,40.0,-971.0,-135.0
17.0,-254.0,-54.0,-56.0,-24.0,-4.0,33.0,-969.0,-137.0
17.0,-250.0,-54.0,-56.0,-24.0,-3.0,39.0,-962.0,-137.0
20.0,-250.0,-52.0,-56.0,-24.0,-1.0,42.0,-962.0,-137.0
19.0,-250.0,-53.0,-55.0,-22.0,0.0,42.0,-965.0,-135.0
