acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
26.0,12.0,238.0,-61.0,56.0,-10.0,94.0,58.0,1023.0
27.0,13.0,240.0,-58.0,54.0,-8.0,96.0,56.0,1028.0
26.0,11.0,237.0,-52.0,54.0,-11.0,99.0,54.0,1022.0
25.0,10.0,240.0,-48.0,54.0,-9.0,97.0,55.0,1023.0
26.0,13.0,238.0,-44.0,56.0,-9.0,96.0,53.0,1023.0
20.0,3.0,246.0,-41.0,56.0,-7.0,96.0,55.0,1016.0
41.0,14.0,219.0,-39.0,56.0,-7.0,98.0,63.0,1021.0
32.0,17.0,233.0,-39.0,58.0,-5.0,95.0,58.0,1016.0
22.0,19.0,242.0,-39.0,57.0,-5.0,94.0,60.0,1012.0
30.0,16.0,238.0,-39.0,57.0,-3.0,97.0,63.0,1009.0
36.0,19.0,242.0,-38.0,56.0,-4.0,95.0,65.0,1007.0
30.0,7.0,234.0,-38.0,55.0,-2.0,98.0,63.0,1005.0
25.0,8.0,236.0,-37.0,55.0,-4.0,95.0,68.0,1003.0
38.0,13.0,216.0,-37.0,56.0,0.0,96.0,61.0,1003.0
32.0,22.0,228.0,-34.0,58.0,-3.0,93.0,63.0,1005.0
27.0,18.0,243.0,-36.0,57.0,1.0,94.0,59.0,1004.0
27.0,16.0,232.0,-40.0,58.0,0.0,98.0,64.0,1009.0
28.0,12.0,233.0,-46.0,57.0,2.0,102.0,65.0,1008.0
30.0,14.0,238.0,-52.0,57.0,-2.0,105.0,59.0,1018.0
28.0,13.0,237.0,-56.0,54.0,0.0,103.0,60.0,1019.0
32.0,11.0,239.0,-60.0,56.0,-2.0,104.0,63.0,1025.0
26.0,16.0,243.0,-60.0,57.0,0.0,105.0,63.0,1025.0
28.0,12.0,241.0,-59.0,57.0,-3.0,102.0,58.0,1025.0
31.0,12.0,239.0,-54.0,57.0,-2.0,105.0,55.0,1026.0
34.0,22.0,244.0,-46.0,57.0,-3.0,105.0,59.0,1029.0
30.0,16.0,237.0,-39.0,57.0,-2.0,106.0,56.0,1027.0
25.0,9.0,237.0,-32.0,58.0,-5.0,101.0,52.0,1026.0
38.0,11.0,244.0,-27.0,60.0,-1.0,108.0,58.0,1032.0
27.0,10.0,238.0,-26.0,61.0,-3.0,104.0,61.0,1026.0
34.0,21.0,252.0,-30.0,61.0,4.0,105.0,58.0,1037.0
28.0,7.0,246.0,-43.0,55.0,1.0,105.0,51.0,1023.0
33.0,17.0,237.0,-43.0,54.0,0.0,113.0,54.0,1025.0
26.0,11.0,245.0,-45.0,59.0,-1.0,112.0,56.0,1027.0
33.0,2.0,239.0,-45.0,63.0,1.0,107.0,53.0,1029.0
27.0,7.0,241.0,-45.0,66.0,-2.0,107.0,51.0,1030.0
30.0,12.0,241.0,-46.0,67.0,0.0,107.0,57.0,1032.0
30.0,11.0,242.0,-45.0,66.0,-2.0,108.0,51.0,1028.0
30.0,15.0,244.0,-42.0,67.0,-2.0,105.0,51.0,1028.0
31.0,11.0,242.0,-42.0,68.0,-3.0,106.0,56.0,1032.0
35.0,16.0,237.0,-45.0,70.0,-2.0,109.0,57.0,1028.0
30.0,15.0,239.0,-49.0,68.0,-4.0,110.0,55.0,1029.0
18.0,21.0,235.0,-51.0,67.0,-3.0,109.0,55.0,1027.0
34.0,4.0,258.0,-51.0,67.0,-5.0,104.0,54.0,1027.0
36.0,18.0,245.0,-50.0,66.0,-3.0,106.0,53.0,1030.0
36.0,10.0,245.0,-51.0,66.0,-4.0,102.0,51.0,1029.0
40.0,11.0,245.0,-49.0,66.0,-5.0,109.0,52.0,1026.0
47.0,16.0,258.0,-52.0,65.0,-3.0,103.0,53.0,1025.0
30.0,12.0,243.0,-53.0,66.0,-5.0,102.0,49.0,1028.0
23.0,9.0,239.0,-52.0,67.0,-5.0,103.0,52.0,1031.0
28.0,22.0,244.0,-50.0,64.0,-5.0,103.0,50.0,1027.0
31.0,9.0,240.0,-50.0,63.0,-6.0,100.0,51.0,1027.0
33.0,10.0,239.0,-47.0,60.0,-7.0,102.0,48.0,1026.0
29.0,9.0,239.0,-45.0,60.0,-6.0,100.0,50.0,1018.0
29.0,11.0,240.0,-42.0,63.0,-5.0,99.0,52.0,1020.0
18.0,23.0,237.0,-42.0,65.0,-6.0,104.0,52.0,1024.0
15.0,7.0,241.0,-42.0,64.0,-6.0,96.0,52.0,1019.0
31.0,7.0,224.0,-46.0,63.0,-8.0,96.0,51.0,1009.0
32.0,23.0,249.0,-48.0,62.0,-9.0,97.0,52.0,1017.0
45.0,14.0,238.0,-52.0,64.0,-7.0,95.0,50.0,1022.0
21.0,12.0,248.0,-56.0,62.0,-9.0,96.0,49.0,1023.0
30.0,19.0,249.0,-58.0,61.0,-8.0,93.0,47.0,1026.0
29.0,10.0,242.0,-58.0,62.0,-10.0,96.0,52.0,1026.0
17.0,-1.0,237.0,-58.0,64.0,-7.0,94.0,51.0,1026.0
27.0,19.0,227.0,-54.0,63.0,-9.0,99.0,46.0,1027.0
28.0,15.0,230.0,-49.0,65.0,-8.0,94.0,46.0,1031.0
25.0,9.0,242.0,-46.0,65.0,-8.0,95.0,41.0,1027.0
28.0,10.0,240.0,-44.0,65.0,-8.0,96.0,47.0,1022.0
27.0,8.0,235.0,-46.0,66.0,-8.0,98.0,41.0,1021.0
28.0,9.0,237.0,-44.0,67.0,-6.0,94.0,51.0,1026.0
29.0,8.0,244.0,-43.0,68.0,-8.0,97.0,44.0,1018.0
22.0,10.0,235.0,-42.0,69.0,-6.0,100.0,49.0,1023.0
29.0,14.0,241.0,-42.0,70.0,-8.0,102.0,46.0,1022.0
28.0,7.0,237.0,-42.0,68.0,-6.0,97.0,45.0,1020.0
24.0,11.0,237.0,-43.0,66.0,-7.0,100.0,44.0,1021.0
35.0,9.0,248.0,-44.0,63.0,-4.0,99.0,42.0,1019.0
30.0,12.0,236.0,-42.0,61.0,-7.0,106.0,51.0,1021.0
30.0,11.0,239.0,-42.0,62.0,-3.0,98.0,48.0,1026.0
29.0,9.0,235.0,-40.0,61.0,-5.0,101.0,43.0,1024.0
31.0,9.0,235.0,-37.0,61.0,-4.0,99.0,50.0,1024.0
33.0,7.0,243.0,-35.0,59.0,-6.0,99.0,47.0,1025.0
29.0,9.0,239.0,-31.0,61.0,-4.0,102.0,48.0,1022.0
30.0,9.0,238.0,-30.0,62.0,-7.0,105.0,55.0,1014.0
28.0,14.0,238.0,-30.0,65.0,-5.0,105.0,54.0,1020.0
29.0,11.0,240.0,-32.0,67.0,-7.0,101.0,55.0,1012.0
37.0,16.0,249.0,-35.0,68.0,-7.0,100.0,53.0,1015.0
26.0,11.0,238.0,-42.0,70.0,-10.0,99.0,52.0,1019.0
29.0,10.0,238.0,-49.0,69.0,-8.0,104.0,46.0,1023.0
28.0,8.0,242.0,-57.0,69.0,-10.0,101.0,44.0,1023.0
